Name,Year,Made,Condition,Price of car,LATITUDE of car,LONGITUDE of car
Honda Accord,2017,Ohio,New,35000,+32.464812,-86.486527
Honda Accord,2017,Ohio,New,29047,+32.482391,-86.486912
Honda Accord,2017,Ohio,New,26624,+32.478035,-86.474786
Honda Accord,2017,Ohio,New,31269,+32.466372,-86.47106
Honda Accord,2017,Ohio,New,26705,+32.476828,-86.460326
Honda Accord,2017,Ohio,New,29660,+32.465297,-86.457514
Honda Accord,2017,Ohio,New,33662,+32.478063,-86.447461
Honda Accord,2017,Ohio,New,25955,+32.470177,-86.440365
Honda Accord,2017,Ohio,New,27735,+32.463380,-86.444121
Honda Accord,2017,Ohio,New,32165,+32.456784,-86.442892
Honda Accord,2017,Ohio,New,33123,+32.451871,-86.421211
Honda Accord,2017,Ohio,New,31933,+32.472481,-86.42232
Honda Accord,2017,Ohio,New,28414,+32.451946,-86.430664
Honda Accord,2017,Ohio,New,34855,+32.446380,-86.474035
Honda Accord,2017,Ohio,New,25337,+32.435125,-86.484565
Honda Accord,2017,Ohio,New,34100,+32.441378,-86.447168
Honda Accord,2017,Ohio,New,28897,+32.449472,-86.448555
Honda Accord,2017,Ohio,New,26264,+32.412788,-86.517274
Honda Accord,2017,Ohio,New,34815,+32.455663,-86.524615
Honda Accord,2017,Ohio,New,32787,+32.529334,-86.554445
Honda Accord,2017,Ohio,New,29516,+32.500634,-86.451137
Honda Accord,2017,Ohio,New,32440,+32.546290,-86.483549
Honda Accord,2017,Ohio,New,30263,+32.552816,-86.43564
Honda Accord,2017,Ohio,New,34818,+32.632962,-86.589709
Honda Accord,2017,Ohio,New,33408,+32.618177,-86.515758
Honda Accord,2017,Ohio,New,30885,+32.681555,-86.465778
Honda Accord,2017,Ohio,New,34074,+32.612734,-86.458271
Honda Accord,2017,Ohio,New,32086,+32.602335,-86.836447
Honda Accord,2017,Ohio,New,31163,+32.610767,-86.679749
Honda Accord,2017,Ohio,New,27360,+32.478553,-86.662602
Honda Accord,2017,Ohio,New,34557,+32.497436,-86.810908
Honda Accord,2017,Ohio,New,34083,+32.415521,-86.69318
Honda Accord,2017,Ohio,New,32532,+31.188370,-87.800313
Honda Accord,2017,Ohio,New,25442,+31.008842,-87.836215
Honda Accord,2017,Ohio,New,34053,+31.063131,-87.682313
Honda Accord,2017,Ohio,New,32234,+30.964756,-87.701854
Honda Accord,2017,Ohio,New,33897,+30.919270,-87.661365
Honda Accord,2017,Ohio,New,30327,+30.824625,-87.800098
Honda Accord,2017,Ohio,New,26063,+30.755187,-87.877384
Honda Accord,2017,Ohio,New,28113,+30.874070,-87.844557
Honda Accord,2017,Ohio,New,29249,+30.666098,-87.532226
Honda Accord,2017,Ohio,New,27752,+30.676903,-87.70141
Honda Accord,2017,Ohio,New,25013,+30.808413,-87.74407
Honda Accord,2017,Ohio,New,34661,+30.882310,-87.781135
Honda Accord,2017,Ohio,New,26670,+30.896330,-87.785378
Honda Accord,2017,Ohio,New,26116,+30.903313,-87.773198
Honda Accord,2017,Ohio,New,32911,+30.886221,-87.76778
Honda Accord,2017,Ohio,New,29368,+30.869295,-87.785773
Honda Accord,2017,Ohio,New,31971,+30.875117,-87.77499
Honda Accord,2017,Ohio,New,34851,+30.846146,-87.76541
Honda Accord,2017,Ohio,New,28243,+30.680947,-87.908424
Honda Accord,2017,Ohio,New,31080,+30.668564,-87.872449
Honda Accord,2017,Ohio,New,26056,+30.681580,-87.885777
Honda Accord,2017,Ohio,New,34972,+30.667793,-87.908392
Honda Accord,2017,Ohio,New,33746,+30.589992,-87.852824
Honda Accord,2017,Ohio,New,27521,+30.662423,-87.835966
Honda Accord,2017,Ohio,New,32836,+30.649065,-87.886545
Honda Accord,2017,Ohio,New,28332,+30.639401,-87.876685
Honda Accord,2017,Ohio,New,31365,+30.626624,-87.88846
Honda Accord,2017,Ohio,New,28959,+30.645545,-87.902855
Honda Accord,2017,Ohio,New,30046,+30.638845,-87.900093
Honda Accord,2017,Ohio,New,30565,+30.604787,-87.896145
Honda Accord,2017,Ohio,New,34678,+30.598613,-87.908299
Honda Accord,2017,Ohio,New,34518,+30.584469,-87.889935
Honda Accord,2017,Ohio,New,26241,+30.626714,-87.775034
Honda Accord,2017,Ohio,New,28947,+30.597151,-87.744273
Honda Accord,2017,Ohio,New,31309,+30.597772,-87.772195
Honda Accord,2017,Ohio,New,31562,+30.574327,-87.618915
Honda Accord,2017,Ohio,New,33358,+30.516472,-87.495076
Honda Accord,2017,Ohio,New,30522,+30.619592,-87.704226
Honda Accord,2017,Ohio,New,30485,+30.535593,-87.774319
Honda Accord,2017,Ohio,New,25317,+30.541046,-87.718272
